id,role,start_time,end_time,required_skill
S1,task_1,2025-07-01T15:00:00,2025-07-01T19:00:00,cook
S2,task_2,2025-07-02T19:00:00,2025-07-02T22:00:00,cook
S3,task_3,2025-07-03T12:00:00,2025-07-03T18:00:00,server
S4,task_4,2025-07-04T08:00:00,2025-07-04T13:00:00,cook
S5,task_5,2025-07-05T13:00:00,2025-07-05T19:00:00,cashier
S6,task_6,2025-07-06T19:00:00,2025-07-06T22:00:00,cook
S7,task_7,2025-07-07T06:00:00,2025-07-07T09:00:00,server
S8,task_8,2025-07-08T08:00:00,2025-07-08T14:00:00,server
S9,task_9,2025-07-09T16:00:00,2025-07-09T20:00:00,server
S10,task_10,2025-07-10T19:00:00,2025-07-10T23:00:00,cashier
S11,task_11,2025-07-11T10:00:00,2025-07-11T14:00:00,cashier
S12,task_12,2025-07-12T11:00:00,2025-07-12T16:00:00,server
S13,task_13,2025-07-13T14:00:00,2025-07-13T19:00:00,cashier
S14,task_14,2025-07-14T16:00:00,2025-07-14T20:00:00,server
S15,task_15,2025-07-01T09:00:00,2025-07-01T14:00:00,server
S16,task_16,2025-07-02T06:00:00,2025-07-02T10:00:00,server
S17,task_17,2025-07-03T08:00:00,2025-07-03T12:00:00,server
S18,task_18,2025-07-04T19:00:00,2025-07-04T22:00:00,cashier
S19,task_19,2025-07-05T18:00:00,2025-07-05T22:00:00,cook
S20,task_20,2025-07-06T16:00:00,2025-07-06T19:00:00,cashier
S21,task_21,2025-07-07T06:00:00,2025-07-07T11:00:00,cook
S22,task_22,2025-07-08T18:00:00,2025-07-09T00:00:00,cashier
S23,task_23,2025-07-09T06:00:00,2025-07-09T10:00:00,cook
S24,task_24,2025-07-10T19:00:00,2025-07-10T22:00:00,cashier
S25,task_25,2025-07-11T17:00:00,2025-07-11T23:00:00,cook
S26,task_26,2025-07-12T13:00:00,2025-07-12T16:00:00,cashier
S27,task_27,2025-07-13T15:00:00,2025-07-13T19:00:00,cashier
S28,task_28,2025-07-14T07:00:00,2025-07-14T12:00:00,cook
S29,task_29,2025-07-01T08:00:00,2025-07-01T11:00:00,cook
S30,task_30,2025-07-02T17:00:00,2025-07-02T20:00:00,server
S31,task_31,2025-07-03T18:00:00,2025-07-03T21:00:00,server
S32,task_32,2025-07-04T08:00:00,2025-07-04T12:00:00,cook
S33,task_33,2025-07-05T10:00:00,2025-07-05T14:00:00,cook
S34,task_34,2025-07-06T10:00:00,2025-07-06T14:00:00,server
S35,task_35,2025-07-07T12:00:00,2025-07-07T17:00:00,server
S36,task_36,2025-07-08T10:00:00,2025-07-08T13:00:00,cashier
S37,task_37,2025-07-09T11:00:00,2025-07-09T17:00:00,cashier
S38,task_38,2025-07-10T15:00:00,2025-07-10T19:00:00,cook
S39,task_39,2025-07-11T13:00:00,2025-07-11T19:00:00,cook
S40,task_40,2025-07-12T07:00:00,2025-07-12T12:00:00,cashier
S41,task_41,2025-07-13T11:00:00,2025-07-13T17:00:00,cashier
S42,task_42,2025-07-14T14:00:00,2025-07-14T17:00:00,cashier
S43,task_43,2025-07-01T13:00:00,2025-07-01T19:00:00,cashier
S44,task_44,2025-07-02T16:00:00,2025-07-02T19:00:00,cook
S45,task_45,2025-07-03T07:00:00,2025-07-03T13:00:00,cashier
S46,task_46,2025-07-04T13:00:00,2025-07-04T18:00:00,cook
S47,task_47,2025-07-05T11:00:00,2025-07-05T15:00:00,server
S48,task_48,2025-07-06T17:00:00,2025-07-06T20:00:00,cashier
S49,task_49,2025-07-07T14:00:00,2025-07-07T19:00:00,cashier
S50,task_50,2025-07-08T17:00:00,2025-07-08T21:00:00,cashier
S51,task_51,2025-07-09T08:00:00,2025-07-09T14:00:00,server
S52,task_52,2025-07-10T13:00:00,2025-07-10T18:00:00,cashier
S53,task_53,2025-07-11T15:00:00,2025-07-11T21:00:00,cashier
S54,task_54,2025-07-12T17:00:00,2025-07-12T20:00:00,cashier
S55,task_55,2025-07-13T07:00:00,2025-07-13T11:00:00,cook
S56,task_56,2025-07-14T17:00:00,2025-07-14T22:00:00,server
S57,task_57,2025-07-01T14:00:00,2025-07-01T18:00:00,cashier
S58,task_58,2025-07-02T16:00:00,2025-07-02T21:00:00,cashier
S59,task_59,2025-07-03T15:00:00,2025-07-03T18:00:00,server
S60,task_60,2025-07-04T07:00:00,2025-07-04T10:00:00,cook
S61,task_61,2025-07-05T09:00:00,2025-07-05T13:00:00,cook
S62,task_62,2025-07-06T15:00:00,2025-07-06T19:00:00,cashier
S63,task_63,2025-07-07T16:00:00,2025-07-07T19:00:00,cashier
S64,task_64,2025-07-08T17:00:00,2025-07-08T21:00:00,cook
S65,task_65,2025-07-09T06:00:00,2025-07-09T12:00:00,server
S66,task_66,2025-07-10T06:00:00,2025-07-10T10:00:00,cook
S67,task_67,2025-07-11T11:00:00,2025-07-11T14:00:00,cashier
S68,task_68,2025-07-12T11:00:00,2025-07-12T17:00:00,cook
S69,task_69,2025-07-13T11:00:00,2025-07-13T17:00:00,server
S70,task_70,2025-07-14T13:00:00,2025-07-14T18:00:00,cashier
S71,task_71,2025-07-01T19:00:00,2025-07-02T00:00:00,cashier
S72,task_72,2025-07-02T15:00:00,2025-07-02T21:00:00,cook
S73,task_73,2025-07-03T14:00:00,2025-07-03T20:00:00,server
S74,task_74,2025-07-04T10:00:00,2025-07-04T16:00:00,cook
S75,task_75,2025-07-05T17:00:00,2025-07-05T22:00:00,cashier
S76,task_76,2025-07-06T19:00:00,2025-07-07T00:00:00,server
S77,task_77,2025-07-07T15:00:00,2025-07-07T20:00:00,server
S78,task_78,2025-07-08T12:00:00,2025-07-08T18:00:00,cashier
S79,task_79,2025-07-09T18:00:00,2025-07-10T00:00:00,cashier
S80,task_80,2025-07-10T14:00:00,2025-07-10T19:00:00,cook
S81,task_81,2025-07-11T18:00:00,2025-07-11T23:00:00,server
S82,task_82,2025-07-12T13:00:00,2025-07-12T16:00:00,cook
S83,task_83,2025-07-13T14:00:00,2025-07-13T17:00:00,cashier
S84,task_84,2025-07-14T11:00:00,2025-07-14T15:00:00,cook
S85,task_85,2025-07-01T18:00:00,2025-07-01T21:00:00,server
S86,task_86,2025-07-02T16:00:00,2025-07-02T22:00:00,server
S87,task_87,2025-07-03T14:00:00,2025-07-03T20:00:00,cook
S88,task_88,2025-07-04T13:00:00,2025-07-04T17:00:00,cashier
S89,task_89,2025-07-05T17:00:00,2025-07-05T20:00:00,server
S90,task_90,2025-07-06T07:00:00,2025-07-06T11:00:00,cook
S91,task_91,2025-07-07T13:00:00,2025-07-07T17:00:00,cashier
S92,task_92,2025-07-08T19:00:00,2025-07-09T01:00:00,cashier
S93,task_93,2025-07-09T14:00:00,2025-07-09T17:00:00,cook
S94,task_94,2025-07-10T11:00:00,2025-07-10T16:00:00,cashier
S95,task_95,2025-07-11T15:00:00,2025-07-11T21:00:00,cook
S96,task_96,2025-07-12T19:00:00,2025-07-12T23:00:00,server
S97,task_97,2025-07-13T16:00:00,2025-07-13T22:00:00,cook
S98,task_98,2025-07-14T06:00:00,2025-07-14T12:00:00,server
S99,task_99,2025-07-01T07:00:00,2025-07-01T11:00:00,cook
S100,task_100,2025-07-02T09:00:00,2025-07-02T15:00:00,cashier
S101,task_101,2025-07-03T19:00:00,2025-07-03T23:00:00,cook
S102,task_102,2025-07-04T13:00:00,2025-07-04T17:00:00,server
S103,task_103,2025-07-05T13:00:00,2025-07-05T18:00:00,cashier
S104,task_104,2025-07-06T14:00:00,2025-07-06T19:00:00,cook
S105,task_105,2025-07-07T12:00:00,2025-07-07T16:00:00,cook
S106,task_106,2025-07-08T19:00:00,2025-07-08T22:00:00,server
S107,task_107,2025-07-09T16:00:00,2025-07-09T19:00:00,cashier
S108,task_108,2025-07-10T09:00:00,2025-07-10T14:00:00,server
S109,task_109,2025-07-11T07:00:00,2025-07-11T11:00:00,cook
S110,task_110,2025-07-12T10:00:00,2025-07-12T16:00:00,server
S111,task_111,2025-07-13T07:00:00,2025-07-13T12:00:00,cashier
S112,task_112,2025-07-14T17:00:00,2025-07-14T21:00:00,cashier
S113,task_113,2025-07-01T13:00:00,2025-07-01T18:00:00,cashier
S114,task_114,2025-07-02T18:00:00,2025-07-03T00:00:00,cashier
S115,task_115,2025-07-03T08:00:00,2025-07-03T11:00:00,cook
S116,task_116,2025-07-04T15:00:00,2025-07-04T20:00:00,cashier
S117,task_117,2025-07-05T19:00:00,2025-07-06T00:00:00,cashier
S118,task_118,2025-07-06T13:00:00,2025-07-06T17:00:00,cashier
S119,task_119,2025-07-07T11:00:00,2025-07-07T14:00:00,cook
S120,task_120,2025-07-08T16:00:00,2025-07-08T20:00:00,cook
S121,task_121,2025-07-09T10:00:00,2025-07-09T16:00:00,cook
S122,task_122,2025-07-10T10:00:00,2025-07-10T14:00:00,cook
S123,task_123,2025-07-11T09:00:00,2025-07-11T13:00:00,cook
S124,task_124,2025-07-12T13:00:00,2025-07-12T16:00:00,cook
S125,task_125,2025-07-13T14:00:00,2025-07-13T18:00:00,server
S126,task_126,2025-07-14T17:00:00,2025-07-14T20:00:00,server
S127,task_127,2025-07-01T11:00:00,2025-07-01T17:00:00,cashier
S128,task_128,2025-07-02T12:00:00,2025-07-02T16:00:00,server
S129,task_129,2025-07-03T06:00:00,2025-07-03T09:00:00,cashier
S130,task_130,2025-07-04T16:00:00,2025-07-04T21:00:00,cashier
S131,task_131,2025-07-05T08:00:00,2025-07-05T12:00:00,cashier
S132,task_132,2025-07-06T16:00:00,2025-07-06T22:00:00,cashier
S133,task_133,2025-07-07T16:00:00,2025-07-07T21:00:00,cashier
S134,task_134,2025-07-08T17:00:00,2025-07-08T22:00:00,cashier
S135,task_135,2025-07-09T19:00:00,2025-07-10T01:00:00,cook
S136,task_136,2025-07-10T11:00:00,2025-07-10T15:00:00,cashier
S137,task_137,2025-07-11T10:00:00,2025-07-11T13:00:00,cook
S138,task_138,2025-07-12T16:00:00,2025-07-12T22:00:00,cook
S139,task_139,2025-07-13T09:00:00,2025-07-13T13:00:00,cook
S140,task_140,2025-07-14T15:00:00,2025-07-14T18:00:00,cashier
S141,task_141,2025-07-01T12:00:00,2025-07-01T15:00:00,server
S142,task_142,2025-07-02T17:00:00,2025-07-02T22:00:00,cashier
S143,task_143,2025-07-03T19:00:00,2025-07-03T22:00:00,server
S144,task_144,2025-07-04T15:00:00,2025-07-04T21:00:00,cashier
S145,task_145,2025-07-05T16:00:00,2025-07-05T20:00:00,server
S146,task_146,2025-07-06T09:00:00,2025-07-06T15:00:00,server
S147,task_147,2025-07-07T06:00:00,2025-07-07T09:00:00,server
S148,task_148,2025-07-08T16:00:00,2025-07-08T20:00:00,cashier
S149,task_149,2025-07-09T18:00:00,2025-07-09T22:00:00,server
S150,task_150,2025-07-10T16:00:00,2025-07-10T22:00:00,cook
S151,task_151,2025-07-11T18:00:00,2025-07-11T22:00:00,cashier
S152,task_152,2025-07-12T13:00:00,2025-07-12T18:00:00,server
S153,task_153,2025-07-13T16:00:00,2025-07-13T21:00:00,cashier
S154,task_154,2025-07-14T18:00:00,2025-07-14T22:00:00,server
S155,task_155,2025-07-01T06:00:00,2025-07-01T09:00:00,server
S156,task_156,2025-07-02T09:00:00,2025-07-02T14:00:00,cashier
S157,task_157,2025-07-03T09:00:00,2025-07-03T14:00:00,cook
S158,task_158,2025-07-04T07:00:00,2025-07-04T13:00:00,cook
S159,task_159,2025-07-05T09:00:00,2025-07-05T14:00:00,cashier
S160,task_160,2025-07-06T13:00:00,2025-07-06T17:00:00,server
S161,task_161,2025-07-07T14:00:00,2025-07-07T19:00:00,server
S162,task_162,2025-07-08T11:00:00,2025-07-08T15:00:00,server
S163,task_163,2025-07-09T14:00:00,2025-07-09T19:00:00,cook
S164,task_164,2025-07-10T18:00:00,2025-07-11T00:00:00,cashier
S165,task_165,2025-07-11T16:00:00,2025-07-11T20:00:00,cook
S166,task_166,2025-07-12T13:00:00,2025-07-12T16:00:00,server
S167,task_167,2025-07-13T11:00:00,2025-07-13T15:00:00,cashier
S168,task_168,2025-07-14T19:00:00,2025-07-15T00:00:00,cook
S169,task_169,2025-07-01T07:00:00,2025-07-01T10:00:00,cook
S170,task_170,2025-07-02T12:00:00,2025-07-02T18:00:00,cook
S171,task_171,2025-07-03T09:00:00,2025-07-03T14:00:00,cashier
S172,task_172,2025-07-04T14:00:00,2025-07-04T17:00:00,cook
S173,task_173,2025-07-05T11:00:00,2025-07-05T14:00:00,cashier
S174,task_174,2025-07-06T15:00:00,2025-07-06T19:00:00,server
S175,task_175,2025-07-07T08:00:00,2025-07-07T12:00:00,cashier
S176,task_176,2025-07-08T07:00:00,2025-07-08T12:00:00,cashier
S177,task_177,2025-07-09T12:00:00,2025-07-09T17:00:00,cashier
S178,task_178,2025-07-10T14:00:00,2025-07-10T18:00:00,cashier
S179,task_179,2025-07-11T13:00:00,2025-07-11T19:00:00,cook
S180,task_180,2025-07-12T17:00:00,2025-07-12T23:00:00,cook
S181,task_181,2025-07-13T17:00:00,2025-07-13T22:00:00,cook
S182,task_182,2025-07-14T13:00:00,2025-07-14T19:00:00,cashier
S183,task_183,2025-07-01T08:00:00,2025-07-01T12:00:00,server
S184,task_184,2025-07-02T14:00:00,2025-07-02T20:00:00,cashier
S185,task_185,2025-07-03T14:00:00,2025-07-03T19:00:00,cook
S186,task_186,2025-07-04T10:00:00,2025-07-04T14:00:00,cook
S187,task_187,2025-07-05T19:00:00,2025-07-05T23:00:00,server
S188,task_188,2025-07-06T10:00:00,2025-07-06T15:00:00,cashier
S189,task_189,2025-07-07T12:00:00,2025-07-07T16:00:00,cashier
S190,task_190,2025-07-08T17:00:00,2025-07-08T22:00:00,cashier
S191,task_191,2025-07-09T16:00:00,2025-07-09T21:00:00,server
S192,task_192,2025-07-10T11:00:00,2025-07-10T15:00:00,cashier
S193,task_193,2025-07-11T10:00:00,2025-07-11T14:00:00,cashier
S194,task_194,2025-07-12T16:00:00,2025-07-12T19:00:00,server
S195,task_195,2025-07-13T17:00:00,2025-07-13T23:00:00,cashier
S196,task_196,2025-07-14T17:00:00,2025-07-14T23:00:00,cook
S197,task_197,2025-07-01T19:00:00,2025-07-02T00:00:00,cook
S198,task_198,2025-07-02T08:00:00,2025-07-02T13:00:00,server
S199,task_199,2025-07-03T19:00:00,2025-07-04T00:00:00,cook
S200,task_200,2025-07-04T12:00:00,2025-07-04T18:00:00,server
