id,name,skills,max_hours,availability_start,availability_end
E1,Emp 1,"server,cook",30,2025-07-01T06:00:00,2025-07-14T22:00:00
E2,Emp 2,cashier,30,2025-07-01T06:00:00,2025-07-14T22:00:00
E3,Emp 3,cashier,40,2025-07-01T06:00:00,2025-07-14T22:00:00
E4,Emp 4,"cashier,server",40,2025-07-01T06:00:00,2025-07-14T22:00:00
E5,Emp 5,"server,cook",30,2025-07-01T06:00:00,2025-07-14T22:00:00
E6,Emp 6,server,40,2025-07-01T06:00:00,2025-07-14T22:00:00
E7,Emp 7,cook,30,2025-07-01T06:00:00,2025-07-14T22:00:00
E8,Emp 8,"server,cashier",80,2025-07-01T06:00:00,2025-07-14T22:00:00
E9,Emp 9,"server,cashier",80,2025-07-01T06:00:00,2025-07-14T22:00:00
E10,Emp 10,cook,30,2025-07-01T06:00:00,2025-07-14T22:00:00
