id,role,start_time,end_time,required_skill
S1,shift_1,2025-07-01T08:00:00,2025-07-01T12:00:00,cook
S2,shift_2,2025-07-02T14:00:00,2025-07-02T20:00:00,cashier
S3,shift_3,2025-07-03T10:00:00,2025-07-03T15:00:00,server
S4,shift_4,2025-07-04T08:00:00,2025-07-04T12:00:00,cook
S5,shift_5,2025-07-05T14:00:00,2025-07-05T20:00:00,cashier
S6,shift_6,2025-07-06T10:00:00,2025-07-06T15:00:00,server
S7,shift_7,2025-07-07T08:00:00,2025-07-07T12:00:00,cook
S8,shift_8,2025-07-01T14:00:00,2025-07-01T20:00:00,cashier
S9,shift_9,2025-07-02T10:00:00,2025-07-02T15:00:00,server
S10,shift_10,2025-07-03T08:00:00,2025-07-03T12:00:00,cook
S11,shift_11,2025-07-04T14:00:00,2025-07-04T20:00:00,cashier
S12,shift_12,2025-07-05T10:00:00,2025-07-05T15:00:00,server
S13,shift_13,2025-07-06T08:00:00,2025-07-06T12:00:00,cook
S14,shift_14,2025-07-07T14:00:00,2025-07-07T20:00:00,cashier
S15,shift_15,2025-07-01T10:00:00,2025-07-01T15:00:00,server
S16,shift_16,2025-07-02T08:00:00,2025-07-02T12:00:00,cook
S17,shift_17,2025-07-03T14:00:00,2025-07-03T20:00:00,cashier
S18,shift_18,2025-07-04T10:00:00,2025-07-04T15:00:00,server
S19,shift_19,2025-07-05T08:00:00,2025-07-05T12:00:00,cook
S20,shift_20,2025-07-06T14:00:00,2025-07-06T20:00:00,cashier
