id,name,skills,max_hours,availability_start,availability_end
E1,Worker 1,"cashier,server",50,2025-07-01T06:00:00,2025-07-14T22:00:00
E2,Worker 2,"server,cook",40,2025-07-01T06:00:00,2025-07-14T22:00:00
E3,Worker 3,"cashier,server",40,2025-07-01T06:00:00,2025-07-14T22:00:00
E4,Worker 4,cook,80,2025-07-01T06:00:00,2025-07-14T22:00:00
E5,Worker 5,"cook,cashier",30,2025-07-01T06:00:00,2025-07-14T22:00:00
E6,Worker 6,"cashier,cook",50,2025-07-01T06:00:00,2025-07-14T22:00:00
E7,Worker 7,cashier,40,2025-07-01T06:00:00,2025-07-14T22:00:00
E8,Worker 8,server,60,2025-07-01T06:00:00,2025-07-14T22:00:00
E9,Worker 9,"cook,server",60,2025-07-01T06:00:00,2025-07-14T22:00:00
E10,Worker 10,"cook,cashier",80,2025-07-01T06:00:00,2025-07-14T22:00:00
E11,Worker 11,"cook,server",30,2025-07-01T06:00:00,2025-07-14T22:00:00
E12,Worker 12,"cashier,server",60,2025-07-01T06:00:00,2025-07-14T22:00:00
E13,Worker 13,cook,50,2025-07-01T06:00:00,2025-07-14T22:00:00
E14,Worker 14,"cook,cashier",40,2025-07-01T06:00:00,2025-07-14T22:00:00
E15,Worker 15,"server,cook",30,2025-07-01T06:00:00,2025-07-14T22:00:00
E16,Worker 16,"cook,server",60,2025-07-01T06:00:00,2025-07-14T22:00:00
E17,Worker 17,"cook,server",40,2025-07-01T06:00:00,2025-07-14T22:00:00
E18,Worker 18,"cook,cashier",30,2025-07-01T06:00:00,2025-07-14T22:00:00
E19,Worker 19,"cook,cashier",60,2025-07-01T06:00:00,2025-07-14T22:00:00
E20,Worker 20,cashier,40,2025-07-01T06:00:00,2025-07-14T22:00:00
E21,Worker 21,cashier,40,2025-07-01T06:00:00,2025-07-14T22:00:00
E22,Worker 22,cook,60,2025-07-01T06:00:00,2025-07-14T22:00:00
E23,Worker 23,cook,50,2025-07-01T06:00:00,2025-07-14T22:00:00
E24,Worker 24,cashier,50,2025-07-01T06:00:00,2025-07-14T22:00:00
E25,Worker 25,"cashier,cook",40,2025-07-01T06:00:00,2025-07-14T22:00:00
E26,Worker 26,cook,60,2025-07-01T06:00:00,2025-07-14T22:00:00
E27,Worker 27,server,50,2025-07-01T06:00:00,2025-07-14T22:00:00
E28,Worker 28,"cook,cashier",50,2025-07-01T06:00:00,2025-07-14T22:00:00
E29,Worker 29,cook,60,2025-07-01T06:00:00,2025-07-14T22:00:00
E30,Worker 30,server,80,2025-07-01T06:00:00,2025-07-14T22:00:00
E31,Worker 31,cook,60,2025-07-01T06:00:00,2025-07-14T22:00:00
E32,Worker 32,"cook,server",80,2025-07-01T06:00:00,2025-07-14T22:00:00
E33,Worker 33,server,30,2025-07-01T06:00:00,2025-07-14T22:00:00
E34,Worker 34,cashier,50,2025-07-01T06:00:00,2025-07-14T22:00:00
E35,Worker 35,"server,cashier",40,2025-07-01T06:00:00,2025-07-14T22:00:00
E36,Worker 36,server,40,2025-07-01T06:00:00,2025-07-14T22:00:00
E37,Worker 37,cook,60,2025-07-01T06:00:00,2025-07-14T22:00:00
E38,Worker 38,cook,40,2025-07-01T06:00:00,2025-07-14T22:00:00
E39,Worker 39,"server,cashier",80,2025-07-01T06:00:00,2025-07-14T22:00:00
E40,Worker 40,"cook,cashier",40,2025-07-01T06:00:00,2025-07-14T22:00:00
