id,role,start_time,end_time,required_skill
S1,duty_1,2025-07-01T17:00:00,2025-07-01T21:00:00,cook
S2,duty_2,2025-07-02T17:00:00,2025-07-02T21:00:00,cook
S3,duty_3,2025-07-03T17:00:00,2025-07-03T23:00:00,cook
S4,duty_4,2025-07-04T09:00:00,2025-07-04T13:00:00,cook
S5,duty_5,2025-07-05T09:00:00,2025-07-05T13:00:00,cook
S6,duty_6,2025-07-06T17:00:00,2025-07-06T23:00:00,server
S7,duty_7,2025-07-07T17:00:00,2025-07-07T22:00:00,cook
S8,duty_8,2025-07-08T17:00:00,2025-07-08T23:00:00,cook
S9,duty_9,2025-07-09T09:00:00,2025-07-09T15:00:00,cook
S10,duty_10,2025-07-10T07:00:00,2025-07-10T11:00:00,cashier
S11,duty_11,2025-07-11T13:00:00,2025-07-11T17:00:00,cashier
S12,duty_12,2025-07-12T13:00:00,2025-07-12T18:00:00,cashier
S13,duty_13,2025-07-13T09:00:00,2025-07-13T15:00:00,cashier
S14,duty_14,2025-07-14T07:00:00,2025-07-14T11:00:00,server
S15,duty_15,2025-07-01T07:00:00,2025-07-01T12:00:00,server
S16,duty_16,2025-07-02T09:00:00,2025-07-02T15:00:00,server
S17,duty_17,2025-07-03T13:00:00,2025-07-03T19:00:00,server
S18,duty_18,2025-07-04T07:00:00,2025-07-04T13:00:00,cook
S19,duty_19,2025-07-05T13:00:00,2025-07-05T18:00:00,cashier
S20,duty_20,2025-07-06T13:00:00,2025-07-06T18:00:00,server
S21,duty_21,2025-07-07T13:00:00,2025-07-07T17:00:00,server
S22,duty_22,2025-07-08T13:00:00,2025-07-08T17:00:00,cashier
S23,duty_23,2025-07-09T13:00:00,2025-07-09T17:00:00,cook
S24,duty_24,2025-07-10T17:00:00,2025-07-10T22:00:00,cook
S25,duty_25,2025-07-11T17:00:00,2025-07-11T21:00:00,cook
S26,duty_26,2025-07-12T17:00:00,2025-07-12T21:00:00,cook
S27,duty_27,2025-07-13T13:00:00,2025-07-13T19:00:00,cashier
S28,duty_28,2025-07-14T09:00:00,2025-07-14T15:00:00,cashier
S29,duty_29,2025-07-01T17:00:00,2025-07-01T22:00:00,cashier
S30,duty_30,2025-07-02T07:00:00,2025-07-02T11:00:00,cook
S31,duty_31,2025-07-03T13:00:00,2025-07-03T17:00:00,server
S32,duty_32,2025-07-04T09:00:00,2025-07-04T15:00:00,cashier
S33,duty_33,2025-07-05T13:00:00,2025-07-05T18:00:00,cashier
S34,duty_34,2025-07-06T07:00:00,2025-07-06T12:00:00,cook
S35,duty_35,2025-07-07T13:00:00,2025-07-07T17:00:00,server
S36,duty_36,2025-07-08T17:00:00,2025-07-08T21:00:00,cook
S37,duty_37,2025-07-09T09:00:00,2025-07-09T14:00:00,cashier
S38,duty_38,2025-07-10T09:00:00,2025-07-10T13:00:00,cashier
S39,duty_39,2025-07-11T09:00:00,2025-07-11T14:00:00,cook
S40,duty_40,2025-07-12T09:00:00,2025-07-12T15:00:00,cashier
S41,duty_41,2025-07-13T17:00:00,2025-07-13T23:00:00,server
S42,duty_42,2025-07-14T07:00:00,2025-07-14T11:00:00,cook
S43,duty_43,2025-07-01T07:00:00,2025-07-01T11:00:00,server
S44,duty_44,2025-07-02T13:00:00,2025-07-02T17:00:00,cashier
